age_group,sex,year,population
00-04,female,1980,1891249
00-04,male,1980,2054550
05-09,female,1980,2180337
05-09,male,1980,2355265
10-14,female,1980,2162733
10-14,male,1980,2329897
15-19,female,1980,2106425
15-19,male,1980,2265422
20-24,female,1980,2027062
20-24,male,1980,2153977
25-29,female,1980,1518431
25-29,male,1980,1594083
30-34,female,1980,1223203
30-34,male,1980,1323688
35-39,female,1980,1104959
35-39,male,1980,1164862
40-44,female,1980,1057390
40-44,male,1980,1105350
45-49,female,1980,897192
45-49,male,1980,862043
50-54,female,1980,713951
50-54,male,1980,618164
55-59,female,1980,598808
55-59,male,1980,531883
60-64,female,1980,447309
60-64,male,1980,376565
65-69,female,1980,359413
65-69,male,1980,264214
70-74,female,1980,262773
70-74,male,1980,163891
75-79,female,1980,155706
75-79,male,1980,76773
80 and above,female,1980,131445
80 and above,male,1980,44759
00-04,female,1990,1539217
00-04,male,1990,1742903
05-09,female,1990,1851292
05-09,male,1990,2015234
10-14,female,1990,1890145
10-14,male,1990,2032890
15-19,female,1990,2156918
15-19,male,1990,2289992
20-24,female,1990,2079228
20-24,male,1990,2317142
25-29,female,1990,2150454
25-29,male,1990,2241859
30-34,female,1990,2007947
30-34,male,1990,2152103
35-39,female,1990,1463448
35-39,male,1990,1603113
40-44,female,1990,1175101
40-44,male,1990,1290811
45-49,female,1990,1044119
45-49,male,1990,1093269
50-54,female,1990,983263
50-54,male,1990,986356
55-59,female,1990,817023
55-59,male,1990,735237
60-64,female,1990,631934
60-64,male,1990,483990
65-69,female,1990,503803
65-69,male,1990,371165
70-74,female,1990,347562
70-74,male,1990,228834
75-79,female,1990,239202
75-79,male,1990,125631
80 and above,female,1990,206715
80 and above,male,1990,71384
00-04,female,2000,1522449
00-04,male,2000,1726569
05-09,female,2000,1614073
05-09,male,2000,1878181
10-14,female,2000,1460152
10-14,male,2000,1660924
15-19,female,2000,1830777
15-19,male,2000,2031058
20-24,female,2000,1861606
20-24,male,2000,2126523
25-29,female,2000,2097571
25-29,male,2000,2234017
30-34,female,2000,2043357
30-34,male,2000,2178026
35-39,female,2000,2089001
35-39,male,2000,2226356
40-44,female,2000,1953344
40-44,male,2000,2092861
45-49,female,2000,1407849
45-49,male,2000,1506630
50-54,female,2000,1140689
50-54,male,2000,1204813
55-59,female,2000,1003200
55-59,male,2000,991419
60-64,female,2000,938716
60-64,male,2000,854581
65-69,female,2000,761132
65-69,male,2000,595189
70-74,female,2000,556983
70-74,male,2000,352822
75-79,female,2000,380706
75-79,male,2000,215554
80 and above,female,2000,336094
80 and above,male,2000,134889
00-04,female,2010,1092895
00-04,male,2010,1199713
05-09,female,2010,1195296
05-09,male,2010,1329988
10-14,female,2010,1553184
10-14,male,2010,1750211
15-19,female,2010,1624464
15-19,male,2010,1897586
20-24,female,2010,1499967
20-24,male,2010,1765263
25-29,female,2010,1808092
25-29,male,2010,1987890
30-34,female,2010,1880698
30-34,male,2010,2013665
35-39,female,2010,2074739
35-39,male,2010,2191313
40-44,female,2010,2078315
40-44,male,2010,2184288
45-49,female,2010,2041500
45-49,male,2010,2146868
50-54,female,2010,1884024
50-54,male,2010,1949659
55-59,female,2010,1373580
55-59,male,2010,1397038
60-64,female,2010,1103440
60-64,male,2010,1083598
65-69,female,2010,976275
65-69,male,2010,866896
70-74,female,2010,881599
70-74,male,2010,692670
75-79,female,2010,658050
75-79,male,2010,416829
80 and above,female,2010,674184
80 and above,male,2010,280333
